drug	drug_name	indication	indication_name
DB00987	cytarabine	C0005699	Blast Phase
DB00987	cytarabine	C0023473	chronic myeloid leukemia (CML)
DB00987	cytarabine	C0023418	Leukemia
DB00987	cytarabine	C0024299	Lymphoma
DB00987	cytarabine	C0023434	chronic lymphocytic leukemia (CLL)
DB00987	cytarabine	C0024305	non-Hodgkin lymphoma (NHL)
DB00988	dopamine	C0020649	hypotension
DB00988	dopamine	C0242422	Parkinsonian Disorders
DB00988	dopamine	C0030567	Parkinson's Disease
DB00988	dopamine	C0018802	congestive heart failure
DB00988	dopamine	C0035078	Kidney Failure
DB00988	dopamine	C0027051	Myocardial Infarction
DB00988	dopamine	C0036690	Septicemia
DB00988	dopamine	C0428977	bradycardia
DB00988	dopamine	C0018794	heart block
DB00988	dopamine	C0085612	ventricular arrhythmias
DB00988	dopamine	C0018681	headache
DB00988	dopamine	C0040822	tremors
DB00989	rivastigmine	C0002395	Alzheimer's disease
DB00989	rivastigmine	C0030567	Parkinson's Disease
DB00991	oxaprozin	C0029408	osteoarthritis
DB00991	oxaprozin	C0003873	rheumatoid arthritis
DB00993	azathioprine	C0003873	rheumatoid arthritis
DB00993	azathioprine	C0009319	colitis
DB00993	azathioprine	C0010346	Crohn's disease
DB00993	azathioprine	C0009324	ulcerative colitis
DB00993	azathioprine	C0024141	Lupus Erythematosus, Systemic
DB00993	azathioprine	C0026769	multiple sclerosis
DB00994	Neomycin	C0042029	Urinary tract infection
DB00994	Neomycin	C0019151	hepatic encephalopathy (HE)
DB00994	Neomycin	C0022568	Keratitis
DB00994	Neomycin	C0042164	Uveitis
DB00994	Neomycin	C0014356	Enterocolitis
DB00995	auranofin	C0003873	rheumatoid arthritis
DB00995	auranofin	C0003864	Arthritis
DB00995	auranofin	C0003872	psoriatic arthritis
DB00995	auranofin	C0030807	Pemphigus
DB00996	gabapentin	C0032768	postherpetic neuralgia
DB00996	gabapentin	C0035258	restless leg syndrome
DB00996	gabapentin	C0013384	Dyskinetic Syndrome
DB00996	gabapentin	C0030567	Parkinson's Disease
DB00996	gabapentin	C0014544	epilepsy
DB00996	gabapentin	C0036572	seizures
DB00997	doxorubicin	C0019829	Hodgkin's lymphoma
DB00997	doxorubicin	C0026764	multiple myeloma
DB00997	doxorubicin	C0276535	Aids With Kaposi'S Sarcoma
DB00997	doxorubicin	C0079744	Diffuse Large B-Cell Lymphoma
DB00997	doxorubicin	C0024301	follicular lymphoma
DB00997	doxorubicin	C0023467	Leukemia, Myelocytic, Acute
DB00997	doxorubicin	C0027708	Wilm's tumor
DB00997	doxorubicin	C0024305	non-Hodgkin lymphoma (NHL)
DB00997	doxorubicin	C0678222	Breast Carcinoma
DB00997	doxorubicin	C0149925	Small Cell Carcinoma Of Lung
DB00997	doxorubicin	C0023449	Acute Lymphocytic Leukemia
DB00997	doxorubicin	C0006413	Burkitt's lymphoma
DB00997	doxorubicin	C0036220	Kaposi sarcoma
DB00997	doxorubicin	C0027819	neuroblastoma
DB00997	doxorubicin	C1140680	Malignant Neoplasm Of Ovary
DB00997	doxorubicin	C0005695	Bladder Neoplasm
DB00997	doxorubicin	C1458155	Mammary Neoplasms
DB00997	doxorubicin	C0919267	Ovarian Neoplasm
DB00998	frovatriptan	C0149931	Migraine Disorders
DB00999	hydrochlorothiazide	C0020538	Hypertensive disease
DB00999	hydrochlorothiazide	C0013604	edema
DB00999	hydrochlorothiazide	C0018802	congestive heart failure
DB00999	hydrochlorothiazide	C0027726	nephrotic syndrome
DB01001	albuterol	C0004096	asthma
DB01001	albuterol	C0022876	Premature Obstetric Labor
DB01001	albuterol	C0008677	Bronchitis, Chronic
DB01001	albuterol	C0746102	Chronic Lung Disease
DB01001	albuterol	C0024117	Chronic Obstructive Airway Disease
DB01003	cromoglicic-acid	C0004096	asthma
DB01003	cromoglicic-acid	C2607914	Allergic Rhinitis (Disorder)
DB01003	cromoglicic-acid	C0221013	Mastocytosis, Systemic
DB01003	cromoglicic-acid	C0009763	conjunctivitis
DB01003	cromoglicic-acid	C0016470	Food Allergy
DB01003	cromoglicic-acid	C0024899	Mastocytosis
DB01003	cromoglicic-acid	C0035457	Rhinitis, Allergic, Perennial
DB01003	cromoglicic-acid	C0022568	Keratitis
DB01003	cromoglicic-acid	C0847614	Allergy; Nasal
DB01003	cromoglicic-acid	C0014356	Enterocolitis
DB01003	cromoglicic-acid	C0011603	dermatitis
DB01003	cromoglicic-acid	C0042109	urticaria
DB01003	cromoglicic-acid	C0009324	ulcerative colitis
DB01005	hydroxyurea	C0278996	Cancer Of Head And Neck
DB01005	hydroxyurea	C0023473	chronic myeloid leukemia (CML)
DB01005	hydroxyurea	C1140680	Malignant Neoplasm Of Ovary
DB01005	hydroxyurea	C0002895	Anemia, Sickle Cell
DB01005	hydroxyurea	C0025202	melanoma
DB01005	hydroxyurea	C1168401	head and neck squamous cell carcinoma (HNSCC)
DB01005	hydroxyurea	C0006118	Brain Neoplasms
DB01005	hydroxyurea	C0007131	Non-Small Cell Lung Carcinoma
DB01005	hydroxyurea	C0007134	renal cell carcinoma (RCC)
DB01005	hydroxyurea	C0018671	Head And Neck Neoplasms
DB01005	hydroxyurea	C1540912	hypereosinophilic syndrome (HES)
DB01005	hydroxyurea	C0023518	Leukocytosis
DB01005	hydroxyurea	C0919267	Ovarian Neoplasm
DB01005	hydroxyurea	C0032463	polycythemia vera
DB01005	hydroxyurea	C0033578	Prostatic Neoplasms
DB01005	hydroxyurea	C0033860	psoriasis
DB01005	hydroxyurea	C0040028	Thrombocythemia, Essential
DB01005	hydroxyurea	C0042138	Uterine Neoplasms
DB01009	ketoprofen	C0029408	osteoarthritis
DB01009	ketoprofen	C0030193	Pain
DB01009	ketoprofen	C0013390	Dysmenorrhea
DB01009	ketoprofen	C0003873	rheumatoid arthritis
DB01009	ketoprofen	C0038013	ankylosing spondylitis
DB01013	clobetasol-propionate	C0036508	seborrheic dermatitis
DB01013	clobetasol-propionate	C0011616	contact dermatitis
DB01013	clobetasol-propionate	C0033860	psoriasis
DB01014	balsalazide	C0009324	ulcerative colitis
DB01014	balsalazide	C0041582	Ulcer
DB01014	balsalazide	C0014356	Enterocolitis
DB01015	sulfamethoxazole	C0033581	prostatitis
DB01015	sulfamethoxazole	C0029882	Otitis Media
DB01015	sulfamethoxazole	C0032285	pneumonia
DB01015	sulfamethoxazole	C0014335	enteritis
DB01016	glyburide	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01016	glyburide	C0003811	Cardiac Arrhythmia
DB01016	glyburide	C0020456	hyperglycemia
DB01016	glyburide	C0011849	diabetes mellitus
DB01017	minocycline	C0031099	periodontitis
DB01017	minocycline	C0037199	sinusitis
DB01017	minocycline	C0149704	Gingivostomatitis
DB01017	minocycline	C0042029	Urinary tract infection
DB01017	minocycline	C0032285	pneumonia
DB01017	minocycline	C0015967	fever
DB01017	minocycline	C0009763	conjunctivitis
DB01018	guanfacine	C0020538	Hypertensive disease
DB01018	guanfacine	C1263846	attention-deficit/hyperactivity disorder (ADHD)
DB01019	bethanechol	C0080274	urinary retention
DB01019	bethanechol	C0005697	neurogenic bladder
DB01019	bethanechol	C0017168	gastroesophageal reflux disease (GERD)
DB01020	isosorbide-mononitrate	C0002962	angina pectoris
DB01020	isosorbide-mononitrate	C1956346	coronary artery disease (CAD)
DB01020	isosorbide-mononitrate	C0027051	Myocardial Infarction
DB01021	trichlormethiazide	C0020538	Hypertensive disease
DB01021	trichlormethiazide	C0013604	edema
DB01021	trichlormethiazide	C0018801	Heart Failure
DB01021	trichlormethiazide	C0018802	congestive heart failure
DB01021	trichlormethiazide	C0027726	nephrotic syndrome
DB01022	phytonadione	C0020598	hypocalcemia
DB01022	phytonadione	C0029456	osteoporosis
DB01022	phytonadione	C0019087	Hemorrhagic Disorders
DB01022	phytonadione	C0042880	vitamin K deficiency
DB01022	phytonadione	C0019080	hemorrhage
DB01023	felodipine	C0020538	Hypertensive disease
DB01023	felodipine	C0003811	Cardiac Arrhythmia
DB01023	felodipine	C0085580	Essential Hypertension
DB01025	amlexanox	C0038363	Aphthous Stomatitis
DB01025	amlexanox	C0020517	Hypersensitivity
DB01025	amlexanox	C0041582	Ulcer
DB01025	amlexanox	C0004096	asthma
DB01025	amlexanox	C0009763	conjunctivitis
DB01026	ketoconazole	C0036508	seborrheic dermatitis
DB01029	irbesartan	C0020538	Hypertensive disease
DB01029	irbesartan	C0011881	diabetic nephropathy
DB01029	irbesartan	C0018802	congestive heart failure
DB01029	irbesartan	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01029	irbesartan	C0242698	Ventricular Dysfunction, Left
DB01030	topotecan	C1140680	Malignant Neoplasm Of Ovary
DB01030	topotecan	C0149925	Small Cell Carcinoma Of Lung
DB01030	topotecan	C0007131	Non-Small Cell Lung Carcinoma
DB01030	topotecan	C0262584	Carcinoma, Small Cell
DB01030	topotecan	C0919267	Ovarian Neoplasm
DB01030	topotecan	C4048328	cervical cancer
DB01031	ethinamate	C0917801	Sleeplessness
DB01031	ethinamate	C0021603	Sleep Initiation And Maintenance Disorders
DB01032	probenecid	C0003868	Arthritis, Gouty
DB01032	probenecid	C0740394	hyperuricemia
DB01032	probenecid	C0018099	gout
DB01033	mercaptopurine	C0023487	acute promyelocytic leukemia (APL)
DB01033	mercaptopurine	C0023449	Acute Lymphocytic Leukemia
DB01033	mercaptopurine	C0023434	chronic lymphocytic leukemia (CLL)
DB01033	mercaptopurine	C0024305	non-Hodgkin lymphoma (NHL)
DB01036	tolterodine	C0042023	Increased frequency of micturition
DB01036	tolterodine	C0085606	Urgency of micturition
DB01036	tolterodine	C0878773	Overactive Bladder
DB01036	tolterodine	C0042024	urinary incontinence
DB01037	selegiline	C1269683	Major Depressive Disorder
DB01037	selegiline	C0030567	Parkinson's Disease
DB01037	selegiline	C0002395	Alzheimer's disease
DB01037	selegiline	C0013384	Dyskinetic Syndrome
DB01039	fenofibrate	C0020443	hypercholesterolemia
DB01039	fenofibrate	C0020473	hyperlipidemia
DB01039	fenofibrate	C0020557	hypertriglyceridemia
DB01039	fenofibrate	C0020474	Hyperlipidemia, Familial Combined
DB01039	fenofibrate	C0473527	Hypoalphalipoproteinemias
DB01039	fenofibrate	C0020476	Hyperlipoproteinemias
DB01041	Thalidomide	C0026764	multiple myeloma
DB01041	Thalidomide	C0003873	rheumatoid arthritis
DB01041	Thalidomide	C0004943	Behcet Syndrome
DB01041	Thalidomide	C0007134	renal cell carcinoma (RCC)
DB01041	Thalidomide	C0010346	Crohn's disease
DB01041	Thalidomide	C0014742	Erythema Multiforme
DB01041	Thalidomide	C0014743	Erythema Nodosum
DB01041	Thalidomide	C0024138	Lupus Erythematosus, Discoid
DB01041	Thalidomide	C0038363	Aphthous Stomatitis
DB01041	Thalidomide	C0024419	Waldenstrom's macroglobulinemia (WM)
DB01045	rifampin	C0041296	tuberculosis
DB01045	rifampin	C0025289	meningitis
DB01046	lubiprostone	C0009806	constipation
DB01046	lubiprostone	C0022104	irritable bowel syndrome
DB01047	fluocinonide	C0036508	seborrheic dermatitis
DB01047	fluocinonide	C0011616	contact dermatitis
DB01047	fluocinonide	C0015230	Exanthema
DB01047	fluocinonide	C0024138	Lupus Erythematosus, Discoid
DB01047	fluocinonide	C0079773	cutaneous T-cell lymphoma (CTCL)
DB01047	fluocinonide	C0020517	Hypersensitivity
DB01047	fluocinonide	C0013595	eczema
DB01049	Ergoloid mesylate	C0497327	Dementia
DB01050	ibuprofen	C0003873	rheumatoid arthritis
DB01050	ibuprofen	C0030193	Pain
DB01050	ibuprofen	C0015967	fever
DB01050	ibuprofen	C0013390	Dysmenorrhea
DB01050	ibuprofen	C0029408	osteoarthritis
DB01050	ibuprofen	C0149931	Migraine Disorders
DB01050	ibuprofen	C0038013	ankylosing spondylitis
DB01050	ibuprofen	C0003872	psoriatic arthritis
DB01050	ibuprofen	C0018099	gout
DB01050	ibuprofen	C0031046	Pericarditis
DB01050	ibuprofen	C0233315	Premature Birth Of Newborn
DB01050	ibuprofen	C0025323	Menorrhagia
DB01050	ibuprofen	C0018681	headache
DB01050	ibuprofen	C0231528	muscle pain
DB01053	benzylpenicillin	C0149704	Gingivostomatitis
DB01053	benzylpenicillin	C0025294	Meningococcal Meningitis
DB01053	benzylpenicillin	C0155862	Streptococcal Pneumonia
DB01053	benzylpenicillin	C0014733	Erysipelas
DB01053	benzylpenicillin	C0014121	Bacterial Endocarditis
DB01053	benzylpenicillin	C0025289	meningitis
DB01053	benzylpenicillin	C0032285	pneumonia
DB01056	tocainide	C0085612	ventricular arrhythmias
DB01056	tocainide	C0003811	Cardiac Arrhythmia
DB01056	tocainide	C0040997	Trigeminal Neuralgia
DB01057	Ecothiopate	C0017601	glaucoma
DB01057	Ecothiopate	C0017612	Glaucoma, Open-Angle
DB01057	Ecothiopate	C0014877	Esotropia
DB01057	Ecothiopate	C0271093	Stargardt's disease
DB01059	norfloxacin	C0155862	Streptococcal Pneumonia
DB01059	norfloxacin	C0033581	prostatitis
DB01059	norfloxacin	C0149725	Lower respiratory tract infection
DB01059	norfloxacin	C0031154	peritonitis
DB01059	norfloxacin	C0042029	Urinary tract infection
DB01059	norfloxacin	C0034186	pyelonephritis
DB01059	norfloxacin	C0032285	pneumonia
DB01059	norfloxacin	C2242472	Infection of bone
DB01059	norfloxacin	C0010692	Cystitis
DB01059	norfloxacin	C0014836	Escherichia coli Infections
DB01060	amoxicillin	C0149725	Lower respiratory tract infection
DB01060	amoxicillin	C0155862	Streptococcal Pneumonia
DB01060	amoxicillin	C0014836	Escherichia coli Infections
DB01060	amoxicillin	C0042029	Urinary tract infection
DB01060	amoxicillin	C0013295	Duodenal Ulcer
DB01060	amoxicillin	C0029882	Otitis Media
DB01060	amoxicillin	C0037199	sinusitis
DB01062	oxybutynin	C0042023	Increased frequency of micturition
DB01062	oxybutynin	C0085606	Urgency of micturition
DB01062	oxybutynin	C0005697	neurogenic bladder
DB01062	oxybutynin	C0878773	Overactive Bladder
DB01062	oxybutynin	C0042024	urinary incontinence
DB01063	acetophenazine	C0033975	Psychotic Disorders
DB01064	isoprenaline	C0004245	Atrioventricular Block
DB01064	isoprenaline	C0018790	cardiac arrest
DB01064	isoprenaline	C0004096	asthma
DB01064	isoprenaline	C0008677	Bronchitis, Chronic
DB01064	isoprenaline	C0018794	heart block
DB01064	isoprenaline	C0428977	bradycardia
DB01064	isoprenaline	C0040479	Torsades De Pointes
DB01064	isoprenaline	C0042510	ventricular fibrillation (VF)
DB01065	melatonin	C0021603	Sleep Initiation And Maintenance Disorders
DB01065	melatonin	C0456909	Blind Vision
DB01065	melatonin	C0007789	Cerebral Palsy
DB01065	melatonin	C0376358	Malignant Neoplasm Of Prostate
DB01065	melatonin	C0877792	Sleep Disorders, Circadian Rhythm
DB01067	glipizide	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01067	glipizide	C0020456	hyperglycemia
DB01067	glipizide	C0011849	diabetes mellitus
DB01068	clonazepam	C0270846	Epileptic drop attack
DB01068	clonazepam	C0030319	panic disorders
DB01068	clonazepam	C0014553	Absence Epilepsy
DB01068	clonazepam	C0238111	Lennox-Gastaut Syndrome
DB01068	clonazepam	C0014550	Epilepsies, Myoclonic
DB01068	clonazepam	C0595948	Atypical Absence Seizure
DB01068	clonazepam	C0035258	restless leg syndrome
DB01068	clonazepam	C0014544	epilepsy
DB01068	clonazepam	C0036572	seizures
DB01069	promethazine	C0018621	Hay Fever
DB01069	promethazine	C0027498	Nausea and vomiting
DB01069	promethazine	C0042109	urticaria
DB01069	promethazine	C0020517	Hypersensitivity
DB01069	promethazine	C0032787	Postoperative Complications
DB01069	promethazine	C0035457	Rhinitis, Allergic, Perennial
DB01070	dihydrotachysterol	C0020598	hypocalcemia
DB01070	dihydrotachysterol	C0039621	tetany
DB01070	dihydrotachysterol	C0020626	hypoparathyroidism
DB01070	dihydrotachysterol	C0035579	rickets
DB01070	dihydrotachysterol	C0085682	hypophosphatemia
DB01070	dihydrotachysterol	C0001122	Acidosis
DB01070	dihydrotachysterol	C0015624	Fanconi Syndrome
DB01070	dihydrotachysterol	C0029442	osteomalacia
DB01070	dihydrotachysterol	C0029456	osteoporosis
DB01070	dihydrotachysterol	C0033806	Pseudohypoparathyroidism
DB01070	dihydrotachysterol	C0020502	hyperparathyroidism
DB01070	dihydrotachysterol	C0022661	chronic renal failure
DB01070	dihydrotachysterol	C0042842	Vitamin A Deficiency
DB01070	dihydrotachysterol	C0042870	vitamin D deficiency
DB01075	diphenhydramine	C0018621	Hay Fever
DB01075	diphenhydramine	C0917801	Sleeplessness
DB01075	diphenhydramine	C0020517	Hypersensitivity
DB01075	diphenhydramine	C0013384	Dyskinetic Syndrome
DB01075	diphenhydramine	C0030567	Parkinson's Disease
DB01075	diphenhydramine	C0035457	Rhinitis, Allergic, Perennial
DB01075	diphenhydramine	C0021603	Sleep Initiation And Maintenance Disorders
DB01075	diphenhydramine	C0042109	urticaria
DB01075	diphenhydramine	C0018681	headache
DB01076	atorvastatin	C0002962	angina pectoris
DB01076	atorvastatin	C0020443	hypercholesterolemia
DB01076	atorvastatin	C0020538	Hypertensive disease
DB01076	atorvastatin	C0038454	stroke
DB01076	atorvastatin	C0020474	Hyperlipidemia, Familial Combined
DB01076	atorvastatin	C0003850	arteriosclerosis
DB01076	atorvastatin	C0020479	Hyperlipoproteinemia Type Iii
DB01076	atorvastatin	C0342881	Familial hypercholesterolemia - homozygous
DB01076	atorvastatin	C0020557	hypertriglyceridemia
DB01076	atorvastatin	C0020473	hyperlipidemia
DB01076	atorvastatin	C0948089	acute coronary syndrome (ACS)
DB01076	atorvastatin	C0020476	Hyperlipoproteinemias
DB01076	atorvastatin	C0027051	Myocardial Infarction
DB01077	etidronic-acid	C0029401	Osteitis Deformans
DB01077	etidronic-acid	C0029396	heterotopic ossification
DB01077	etidronic-acid	C0020437	hypercalcemia
DB01080	vigabatrin	C0037769	Infantile Spasms
DB01080	vigabatrin	C0036572	seizures
DB01080	vigabatrin	C0037763	spasms
DB01081	Diphenoxylate	C0011991	diarrhea
DB01081	Diphenoxylate	C0014356	Enterocolitis
DB01082	streptomycin	C0041296	tuberculosis
DB01082	streptomycin	C0014121	Bacterial Endocarditis
DB01082	streptomycin	C0014356	Enterocolitis
DB01083	orlistat	C0028754	obesity
DB01084	emedastine	C0042109	urticaria
DB01084	emedastine	C0033774	Pruritus
DB01084	emedastine	C0020517	Hypersensitivity
DB01084	emedastine	C0009763	conjunctivitis
DB01085	pilocarpine	C0043352	Xerostomia
DB01085	pilocarpine	C0017612	Glaucoma, Open-Angle
DB01085	pilocarpine	C0028840	ocular hypertension
DB01085	pilocarpine	C1527336	sjogren's syndrome
DB01085	pilocarpine	C0017605	Angle Closure Glaucoma
DB01085	pilocarpine	C0018671	Head And Neck Neoplasms
DB01085	pilocarpine	C0017601	glaucoma
DB01086	Benzocaine	C0010200	Coughing
DB01086	Benzocaine	C0033774	Pruritus
DB01086	Benzocaine	C0038363	Aphthous Stomatitis
DB01086	Benzocaine	C0149745	Oral Ulcer
DB01086	Benzocaine	C0029882	Otitis Media
DB01086	Benzocaine	C0028754	obesity
DB01088	iloprost	C2973725	pulmonary arterial hypertension (PAH)
DB01088	iloprost	C0020542	Pulmonary Hypertension
DB01088	iloprost	C0040053	thrombosis
DB01095	fluvastatin	C0020474	Hyperlipidemia, Familial Combined
DB01095	fluvastatin	C0020443	hypercholesterolemia
DB01095	fluvastatin	C0003850	arteriosclerosis
DB01095	fluvastatin	C0010054	Coronary Arteriosclerosis
DB01095	fluvastatin	C0242339	dyslipidemia
DB01095	fluvastatin	C0020473	hyperlipidemia
DB01095	fluvastatin	C0020476	Hyperlipoproteinemias
DB01095	fluvastatin	C0018798	congenital heart defects
DB01097	leflunomide	C0003873	rheumatoid arthritis
DB01097	leflunomide	C0003872	psoriatic arthritis
DB01098	rosuvastatin	C0038454	stroke
DB01098	rosuvastatin	C0020474	Hyperlipidemia, Familial Combined
DB01098	rosuvastatin	C0342881	Familial hypercholesterolemia - homozygous
DB01098	rosuvastatin	C0003850	arteriosclerosis
DB01098	rosuvastatin	C0020443	hypercholesterolemia
DB01098	rosuvastatin	C0020557	hypertriglyceridemia
DB01098	rosuvastatin	C0020479	Hyperlipoproteinemia Type Iii
DB01098	rosuvastatin	C0020473	hyperlipidemia
DB01098	rosuvastatin	C0242339	dyslipidemia
DB01098	rosuvastatin	C0004153	atherosclerosis
DB01100	pimozide	C0040517	Tourette's disorder
DB01100	pimozide	C0013384	Dyskinetic Syndrome
DB01100	pimozide	C0020179	Huntington's disease
DB01101	capecitabine	C1458155	Mammary Neoplasms
DB01101	capecitabine	C0009404	Colorectal Neoplasms
DB01101	capecitabine	C1527249	colorectal cancer
DB01104	sertraline	C0011581	Depressive disorder
DB01104	sertraline	C0028768	obsessive compulsive disorder (OCD)
DB01104	sertraline	C0030319	panic disorders
DB01105	Sibutramine	C0028754	obesity
DB01106	levocabastine	C2607914	Allergic Rhinitis (Disorder)
DB01106	levocabastine	C0847614	Allergy; Nasal
DB01106	levocabastine	C0009763	conjunctivitis
DB01107	methyprylon	C0917801	Sleeplessness
DB01107	methyprylon	C0021603	Sleep Initiation And Maintenance Disorders
DB01108	trilostane	C0010481	Cushing's syndrome
DB01109	Heparin	C0149871	deep vein thrombosis (DVT)
DB01109	Heparin	C0012739	Disseminated Intravascular Coagulation
DB01110	miconazole	C0040261	onychomycosis
DB01110	miconazole	C0014356	Enterocolitis
DB01113	papaverine	C0085096	Peripheral Vascular Diseases
DB01113	papaverine	C0917798	Cerebral Ischemia
DB01113	papaverine	C0242350	erectile dysfunction
DB01113	papaverine	C0003811	Cardiac Arrhythmia
DB01113	papaverine	C0007786	Brain Ischemia
DB01113	papaverine	C0034065	pulmonary embolism (PE)
DB01113	papaverine	C0034734	Raynaud's disease
DB01113	papaverine	C0040038	Thromboembolism
DB01113	papaverine	C0027051	Myocardial Infarction
DB01113	papaverine	C0002962	angina pectoris
DB01113	papaverine	C0009319	colitis
DB01114	chlorphenamine	C0042109	urticaria
DB01114	chlorphenamine	C0343065	Symptomatic Dermographism
DB01114	chlorphenamine	C0027424	Nasal congestion (finding)
DB01114	chlorphenamine	C0018621	Hay Fever
DB01114	chlorphenamine	C2607914	Allergic Rhinitis (Disorder)
DB01114	chlorphenamine	C0033774	Pruritus
DB01114	chlorphenamine	C0004096	asthma
DB01114	chlorphenamine	C0020517	Hypersensitivity
DB01114	chlorphenamine	C0035455	Rhinitis
DB01114	chlorphenamine	C0035457	Rhinitis, Allergic, Perennial
DB01115	nifedipine	C0020538	Hypertensive disease
DB01115	nifedipine	C0002962	angina pectoris
DB01115	nifedipine	C0022876	Premature Obstetric Labor
DB01117	atovaquone	C0032285	pneumonia
DB01118	amiodarone	C0042510	ventricular fibrillation (VF)
DB01118	amiodarone	C0085612	ventricular arrhythmias
DB01118	amiodarone	C0003811	Cardiac Arrhythmia
DB01118	amiodarone	C0039240	Supraventricular Tachycardia
DB01119	diazoxide	C0020459	Hyperinsulinism
DB01119	diazoxide	C0021670	Insulinoma
DB01119	diazoxide	C0020615	hypoglycemia
DB01119	diazoxide	C0020540	Malignant Hypertension
DB01120	gliclazide	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01120	gliclazide	C0020456	hyperglycemia
DB01120	gliclazide	C0011849	diabetes mellitus
DB01121	phenacemide	C0014544	epilepsy
DB01121	phenacemide	C0085417	Epilepsy, Complex Partial
DB01121	phenacemide	C0036572	seizures
DB01122	ambenonium	C0026896	myasthenia gravis
DB01122	ambenonium	C0026848	Myopathy
DB01124	tolbutamide	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01124	tolbutamide	C0020456	hyperglycemia
DB01124	tolbutamide	C0011849	diabetes mellitus
DB01126	dutasteride	C0020507	Hyperplasia
DB01126	dutasteride	C2937421	Prostatic Hyperplasia
DB01128	bicalutamide	C0376358	Malignant Neoplasm Of Prostate
DB01128	bicalutamide	C0033578	Prostatic Neoplasms
DB01129	rabeprazole	C0027662	Multiple Endocrine Neoplasia
DB01129	rabeprazole	C0043515	Zollinger-Ellison syndrome
DB01129	rabeprazole	C0221013	Mastocytosis, Systemic
DB01129	rabeprazole	C0017168	gastroesophageal reflux disease (GERD)
DB01129	rabeprazole	C0013295	Duodenal Ulcer
DB01129	rabeprazole	C0030920	Peptic Ulcer
DB01129	rabeprazole	C0041582	Ulcer
DB01129	rabeprazole	C0017181	Gastrointestinal Hemorrhage
DB01130	prednicarbate	C0011615	Dermatitis, Atopic
DB01130	prednicarbate	C0024138	Lupus Erythematosus, Discoid
DB01130	prednicarbate	C0079773	cutaneous T-cell lymphoma (CTCL)
DB01130	prednicarbate	C0011616	contact dermatitis
DB01130	prednicarbate	C0015230	Exanthema
DB01130	prednicarbate	C0036508	seborrheic dermatitis
DB01130	prednicarbate	C0015456	Facial Dermatoses
DB01130	prednicarbate	C0013595	eczema
DB01132	pioglitazone	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01132	pioglitazone	C0020456	hyperglycemia
DB01132	pioglitazone	C0011849	diabetes mellitus
DB01133	tiludronate	C0029401	Osteitis Deformans
DB01136	carvedilol	C0020538	Hypertensive disease
DB01136	carvedilol	C0878544	cardiomyopathy
DB01136	carvedilol	C0018801	Heart Failure
DB01136	carvedilol	C0151744	Myocardial Ischemia
DB01136	carvedilol	C0018802	congestive heart failure
DB01136	carvedilol	C0027051	Myocardial Infarction
DB01137	levofloxacin	C0155862	Streptococcal Pneumonia
DB01137	levofloxacin	C0034186	pyelonephritis
DB01137	levofloxacin	C0032285	pneumonia
DB01137	levofloxacin	C0037199	sinusitis
DB01137	levofloxacin	C0033581	prostatitis
DB01138	sulfinpyrazone	C0740394	hyperuricemia
DB01138	sulfinpyrazone	C0003868	Arthritis, Gouty
DB01138	sulfinpyrazone	C0018099	gout
DB01138	sulfinpyrazone	C0027051	Myocardial Infarction
DB01140	cefadroxil	C0042029	Urinary tract infection
DB01142	doxepin	C0005587	Depression, Bipolar
DB01142	doxepin	C0270458	Severe major depression with psychotic features
DB01142	doxepin	C0003467	anxiety
DB01142	doxepin	C0011581	Depressive disorder
DB01142	doxepin	C0917801	Sleeplessness
DB01142	doxepin	C0033774	Pruritus
DB01142	doxepin	C0011615	Dermatitis, Atopic
DB01144	diclofenamide	C0017612	Glaucoma, Open-Angle
DB01144	diclofenamide	C0017605	Angle Closure Glaucoma
DB01144	diclofenamide	C0017601	glaucoma
DB01144	diclofenamide	C0014544	epilepsy
DB01146	diphenylpyraline	C0027424	Nasal congestion (finding)
DB01146	diphenylpyraline	C2607914	Allergic Rhinitis (Disorder)
DB01146	diphenylpyraline	C0042109	urticaria
DB01146	diphenylpyraline	C0033774	Pruritus
DB01146	diphenylpyraline	C0343065	Symptomatic Dermographism
DB01146	diphenylpyraline	C0018621	Hay Fever
DB01148	flavoxate	C0085606	Urgency of micturition
DB01148	flavoxate	C0028734	Nocturia
DB01148	flavoxate	C0042024	urinary incontinence
DB01148	flavoxate	C0042023	Increased frequency of micturition
DB01148	flavoxate	C0013428	Dysuria
DB01148	flavoxate	C0010692	Cystitis
DB01148	flavoxate	C0033581	prostatitis
DB01148	flavoxate	C0282488	interstitial cystitis (IC)
DB01149	Nefazodone	C1269683	Major Depressive Disorder
DB01151	desipramine	C0011581	Depressive disorder
DB01151	desipramine	C0150055	chronic pain
DB01156	bupropion	C0011581	Depressive disorder
DB01156	bupropion	C1269683	Major Depressive Disorder
DB01156	bupropion	C0085159	seasonal affective disorder
DB01156	bupropion	C0028754	obesity
DB01158	bretylium	C0042510	ventricular fibrillation (VF)
DB01158	bretylium	C0085612	ventricular arrhythmias
DB01158	bretylium	C0003811	Cardiac Arrhythmia
